SL no,Factors,1997-98 (After bifurcation w.e.f.  15-08-97) ,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
1,Corporate offices,1,1,1,1,1,1,1
2,Depots,13,40,43,44,45,45,45
3,Central Workshops,1,2,2,2,2,3,3
4,Staff Employed,13294,35554,34306,34114,33878,33292,32308
5,Ratio of Officers to  employees,209,244,249,256,241,215,229
6,Staff Ratio per Schedule,6.87,5.68,5.52,5.55,5.47,5.41,6.08
1,Schedules                       ,1934,6261,6219,6143,6190,6159,5313
2,Fleet                                 ,2098,6407,6165,6677,6521,6690,6521
3,New vehicles added ,146,0,101,1406,290,361,0
4,Vehicles scrapped,59,118,343,880,440,190,169
5,Routes          ,1036,2424,2194,2253,2263,2196,1900
6,Route Length,19.45,23.94,24.05,24.6,25.15,25.73,25.89
1,Bus Stations,24,52,53,53,54,54,48
2,Bus shelters /pickup points,845,2212,2212,2212,2212,2212,2212
1,Total Scheduled Kilometers (in lakhs),975.89,4976.18,4860.09,4864.82,4692.32,4522.55,2277.58
2,Daily Scheduled Kilometers (in lakhs) ,4.46,13.6,13.32,13.33,12.86,12.36,6.1
3,Total Service Kilometers (in lakhs),919.16,4469.82,4205.2,4164.53,4152.85,4065.51,2147.48
4,% Growth over Previous Year,,-5.1,-5.9,-1,-0.3,-2.1,-47.2
5,Total Cancelled kms (in lakhs),71.68,533.56,678.92,717.94,571.44,479.78,131.18
6,% Cancellation,7.3,10.7,14,14.8,12.2,10.6,5.9
7,Passengers carried per day (in lakhs),24.5,50.74,45.34,44.37,35,33.1,12.79
8,Percentage Load Factor,72.3,74.2,68.8,66.8,71.4,67.7,57.8
1,Percentage fleet Utilisation,91.7,90.9,89,87.5,84.1,85.1,55
2,Average Vehicle Utilisation (kms.),214.2,208.5,206.5,203.8,202.6,200.4,161.9
3,Diesel (KMPL),4.01,3.76,3.74,3.74,3.74,3.75,4.29
1,"Breakdowns per 10,000 kms",0.55,0.06,0.06,0.05,0.03,0.03,0.01
2,Accidents per 1 lakh kms,0.32,0.07,0.07,0.07,0.07,0.06,0.05
