ward_id,service_count,response_time_h3
ward_1,8,8.0325
ward_10,2,13.485
ward_101,4,9.71
ward_102,4,7.685
ward_103,3,10.773333333333333
ward_105,3,8.959999999999999
ward_106,3,6.82
ward_107,6,7.141666666666667
ward_108,2,6.87
ward_11,4,6.1775
ward_110,1,9.24
ward_111,3,4.96
ward_114,4,6.635
ward_115,1,6.71
ward_116,2,6.03
ward_117,1,10.45
ward_119,1,6.54
ward_12,3,9.46
ward_120,1,13.05
ward_121,1,8.93
ward_122,1,3.0
ward_123,1,14.21
ward_124,1,5.58
ward_125,2,4.825
ward_127,3,6.913333333333334
ward_129,4,7.8825
ward_13,1,8.01
ward_131,1,6.06
ward_132,1,7.43
ward_133,1,11.34
ward_134,6,10.048333333333334
ward_135,1,6.68
ward_136,5,7.384
ward_139,2,8.969999999999999
ward_14,4,8.9975
ward_140,1,10.21
ward_141,3,11.656666666666666
ward_142,1,9.29
ward_143,2,6.625
ward_144,6,8.22
ward_146,1,6.04
ward_15,3,9.913333333333334
ward_150,5,9.386
ward_151,4,7.495
ward_153,3,8.533333333333333
ward_154,1,6.5
ward_155,1,9.29
ward_156,2,8.36
ward_157,1,11.19
ward_158,4,6.745
ward_159,2,9.74
ward_160,1,4.17
ward_161,3,7.136666666666667
ward_162,6,8.498333333333333
ward_163,2,11.59
ward_164,3,10.046666666666667
ward_165,1,8.43
ward_167,1,6.11
ward_169,2,9.265
ward_17,1,8.03
ward_171,1,4.02
ward_173,1,7.99
ward_176,1,8.81
ward_18,2,4.915
ward_180,1,5.25
ward_181,1,9.97
ward_184,1,11.71
ward_187,1,10.72
ward_188,1,12.41
ward_19,1,7.68
ward_190,1,7.9
ward_191,1,9.64
ward_192,1,10.69
ward_193,4,9.265
ward_194,2,5.1
ward_197,1,9.25
ward_2,2,7.925000000000001
ward_20,3,6.096666666666667
ward_21,14,7.220714285714286
ward_22,2,5.685
ward_23,5,7.99
ward_24,5,8.959999999999999
ward_25,1,5.5
ward_26,4,7.8825
ward_27,1,6.21
ward_28,1,9.22
ward_29,1,7.86
ward_3,3,4.593333333333333
ward_31,6,8.626666666666667
ward_32,5,9.744
ward_33,3,11.18
ward_34,3,9.416666666666666
ward_35,1,5.19
ward_36,4,8.155
ward_39,13,8.634615384615385
ward_4,8,7.61875
ward_40,1,11.58
ward_41,8,7.26
ward_42,3,10.11
ward_43,2,4.359999999999999
ward_44,4,9.397499999999999
ward_45,4,6.692500000000001
ward_46,7,8.641428571428571
ward_47,1,9.62
ward_48,5,8.748000000000001
ward_49,7,10.552857142857144
ward_5,7,6.364285714285714
ward_50,4,7.3725000000000005
ward_53,1,10.57
ward_54,1,5.34
ward_56,3,6.156666666666666
ward_57,1,4.77
ward_58,1,7.4
ward_59,2,6.89
ward_6,3,5.136666666666667
ward_60,2,13.0
ward_61,2,9.885000000000002
ward_62,2,6.39
ward_63,3,8.39
ward_64,2,9.865
ward_65,4,7.72
ward_66,2,7.2749999999999995
ward_67,1,11.78
ward_68,1,9.02
ward_69,6,5.925
ward_7,9,8.918888888888889
ward_70,2,8.795
ward_72,1,5.07
ward_74,4,10.1425
ward_75,2,9.82
ward_76,3,8.886666666666667
ward_77,5,9.572
ward_79,2,9.765
ward_8,5,8.124
ward_80,3,11.346666666666666
ward_81,4,7.32
ward_82,1,19.01
ward_83,2,9.135
ward_84,2,8.505
ward_85,2,8.95
ward_86,4,7.5
ward_87,2,8.575
ward_88,3,8.903333333333334
ward_89,8,8.6525
ward_9,4,7.7425
ward_91,3,10.636666666666667
ward_92,2,7.775
ward_93,2,6.68
ward_96,1,9.62
ward_97,1,8.31
ward_98,6,8.841666666666667
