ward_id,school_count,students_total
ward_1,130,38683
ward_10,75,25306
ward_100,9,2856
ward_101,17,6208
ward_102,41,12852
ward_103,8,2435
ward_104,6,1858
ward_105,7,2055
ward_106,19,6613
ward_107,17,4831
ward_108,11,3413
ward_109,3,1092
ward_11,75,24863
ward_110,6,1818
ward_111,21,7932
ward_112,8,3523
ward_113,8,4164
ward_114,13,3932
ward_115,13,4159
ward_116,9,3223
ward_117,6,1655
ward_118,2,863
ward_119,2,702
ward_12,29,8711
ward_120,21,8537
ward_121,15,5025
ward_122,10,3898
ward_123,12,3763
ward_124,8,2385
ward_125,4,953
ward_126,4,1455
ward_127,32,11809
ward_128,1,54
ward_129,75,24464
ward_13,28,8709
ward_130,8,2407
ward_131,10,3788
ward_132,6,2066
ward_133,1,324
ward_134,34,12398
ward_135,2,2946
ward_136,34,12785
ward_137,1,441
ward_138,4,1597
ward_139,2,889
ward_14,28,8916
ward_140,13,7112
ward_141,6,1779
ward_142,15,6827
ward_143,19,5873
ward_144,16,5642
ward_145,7,2583
ward_146,9,2824
ward_147,1,214
ward_148,8,2980
ward_149,4,1731
ward_15,46,13777
ward_150,17,4751
ward_151,12,4199
ward_152,1,256
ward_153,7,1876
ward_154,1,20
ward_155,3,1101
ward_156,1,2576
ward_157,1,157
ward_158,8,5705
ward_159,7,4256
ward_16,33,10491
ward_160,3,734
ward_161,11,3312
ward_162,15,4740
ward_163,8,8447
ward_165,2,646
ward_166,3,749
ward_167,2,564
ward_168,2,1476
ward_169,14,9213
ward_17,16,5333
ward_171,1,313
ward_172,1,54
ward_173,2,608
ward_174,2,467
ward_175,1,421
ward_176,4,3776
ward_177,1,181
ward_178,2,1441
ward_179,2,401
ward_18,46,14809
ward_180,9,2079
ward_181,2,529
ward_182,3,2133
ward_183,3,2445
ward_184,6,2469
ward_185,2,2142
ward_186,4,4810
ward_187,2,478
ward_188,5,5579
ward_189,11,18394
ward_19,35,11489
ward_190,7,4901
ward_191,9,7798
ward_192,3,6593
ward_193,4,2761
ward_194,3,2498
ward_195,5,9305
ward_196,5,3982
ward_197,5,10579
ward_198,13,17681
ward_2,44,14102
ward_20,10,3186
ward_21,201,64789
ward_22,41,14644
ward_23,48,15797
ward_24,53,15973
ward_25,88,32711
ward_26,55,17894
ward_27,49,14990
ward_28,33,9647
ward_29,30,8729
ward_3,84,27320
ward_30,17,4732
ward_31,109,35264
ward_32,106,31961
ward_33,49,13974
ward_34,34,10292
ward_35,9,1647
ward_36,44,13848
ward_37,21,7211
ward_38,20,6090
ward_39,311,99223
ward_4,220,72987
ward_40,24,8434
ward_41,75,25446
ward_42,21,6523
ward_43,29,8881
ward_44,43,13856
ward_45,49,13909
ward_46,40,11970
ward_47,14,4617
ward_48,42,14195
ward_49,54,17281
ward_5,49,12474
ward_50,74,25221
ward_51,11,3148
ward_52,9,2264
ward_53,20,6118
ward_54,32,9731
ward_55,22,5925
ward_56,26,7864
ward_57,16,5907
ward_58,27,9659
ward_59,27,8136
ward_6,53,17668
ward_60,10,2379
ward_61,22,8403
ward_62,11,3886
ward_63,19,4961
ward_64,39,12614
ward_65,18,4735
ward_66,24,7337
ward_67,18,5635
ward_68,15,4592
ward_69,46,15345
ward_7,272,83036
ward_70,14,4101
ward_71,17,5457
ward_72,13,3910
ward_73,18,4942
ward_74,15,4769
ward_75,3,573
ward_76,20,6874
ward_77,29,9268
ward_78,13,3991
ward_79,19,5228
ward_8,45,16418
ward_80,88,30430
ward_81,13,4757
ward_82,10,3205
ward_83,12,2834
ward_84,18,4490
ward_85,14,4841
ward_86,24,8797
ward_87,17,5281
ward_88,35,11999
ward_89,28,8865
ward_9,52,17049
ward_90,27,9621
ward_91,18,7065
ward_92,4,1615
ward_93,22,10021
ward_94,12,3037
ward_95,6,1598
ward_96,9,5693
ward_97,12,3510
ward_98,39,13498
ward_99,23,8507
