Year,Fire Calls Responded To,Amount saved,Lives saved,Vehicles - 4500 L Water Tender,Vehicles - 9000L water lorry,Vehicles - 16000L Water Boozer,Vehicles - Foam tender
2012-13,18464,1135259900,615,,,,
2013-14,15925,5763796500,673,391,40,25,2
2014-15,16441,8324774719,434,403,40,35,2
2015-16,15243,6672033754,398,426,40,35,2
2016-17,20772,6960000000,952,406,40,35,2
2017-18,20039,6603700000,1609,406,38,35,2
2018-19,21577,6771000000,1400,406,38,35,2
2019-20,31521,19156869997,1719,426,38,35,2
2020-21,33597,9222129019,1743,377,38,35,2
2021-22,19088,9283281593,4020,426,38,35,2
