_id,code,name
1,AGPP,Attiguppe
2,APRC,Konanakunte Cross
3,APTS,Silk Institute
4,BGUC,Jnanabharathi
5,BIET,Madavara
6,BMSD,Delta Electronics Bommasandra
7,BNSK,Banashankari
8,BRCS,Krantivira Sangolli Rayanna Railway Station
9,BSNK,Banashankari
10,BSRD,Hosa Road
11,BTML,BTM Layout
12,BYPH,Baiyappanahalli
13,CBPK,Cubbon Park
14,CHPK,Chickpete
15,CKBR,Singasandra
16,CKPE,Chickpete
17,CLG,Challaghatta
18,CLGA,Challaghatta
19,CLGT,Challaghatta
20,DJNR,Deepanjali Nagar
21,DKIA,Hoodi
22,DSH,Dasarahalli
23,ECTN,Infosys Foundation Konappana Agrahara
24,ETCT,Electronic City
25,GDCP,Garudacharpalya
26,HBGI,Biocon Hebbagodi
27,HLRU,Halasuru
28,HOSR,Beratena Agrahara
29,HSKR,Huskur Road
30,HSLI,Sri Balagangadharanatha Swamiji Station
31,HSRL,Bommanahalli
32,IDN,Indiranagar
33,ITPL,Pattandur Agrahara
34,JAYN,Jayanagar
35,JDHP,Jayadeva Hospital
36,JHLI,Jalahalli
37,JIDL,Chikkabidarakallu
38,JLHL,Jalahalli
39,JPN,Jaya Prakash Nagar
40,JTPM,Benniganahalli
41,JYN,Jayanagar
42,KDGD,Kadugodi Tree Park
43,KDNH,Kundalahalli
44,KGIT,Kengeri
45,KGWA,Nadaprabhu Kempegowda Station
46,KLPK,Doddakallasandra
47,KRMA,Krishnarajapura
48,KRMT,Krishna Rajendra Market
49,KRPM,Krishnarajapura
50,KVPR,Mahakavi Kuvempu Road
51,LAGH,Lalbagh
52,LBGH,Lalbagh
53,MAGR,Mahatma Gandhi Road
54,MDVP,Singayyanapalya
55,MGRD,Mahatma Gandhi Road
56,MHLI,Mahalakshmi
57,MIRD,Magadi Road
58,MLSD,Kengeri Bus Terminal
59,MNJN,Manjunathanagara
60,MSRN,Kudlu Gate
61,MYRD,Mysore Road
62,NGSA,Nagasandra
63,NLC,National College
64,NYHM,Pantharapalya - Nayandahalli
65,OFDC,Hongasandra
66,PATC,Pattanagere
67,PATG,Pattanagere
68,PEYA,Peenya
69,PUTH,Yelachenahalli
70,PYID,Peenya Industry
71,RGDT,Ragigudda
72,RJNR,Rajajinagar
73,RRRN,Rajarajeshwari Nagar
74,RVR,Rashtreeya Vidyalaya Road
75,RVRD,Rashtreeya Vidyalaya Road
76,SBJT,Central Silk Board
77,SECE,South End Circle
78,SPGD,Mantri Square Sampige Road
79,SPRU,Srirampura
80,SSFY,Sandal Soap Factory
81,SSHP,Sri Sathya Sai Hospital
82,SVRD,Swami Vivekananda Road
83,TGTP,Thalaghattapura
84,TTY,Trinity
85,UWVL,Hopefarm Channasandra
86,VDHP,Nallurahalli
87,VDSA,Dr. B. R. Ambedkar Station
88,VJN,Vijayanagar
89,VJNR,Vijayanagar
90,VJRH,Vajarahalli
91,VSWA,Sir M. Visvesvaraya Stn.
92,VWIA,Seetharampalya
93,WHTM,Whitefield (Kadugodi)
94,YPI,Goraguntepalya
95,YPM,Yeshwantpur
